index=main sourcetype=linux_secure "Failed password"
| rex field=_raw "Failed password for (?<username>\S+) from (?<src_ip>\S+)"
| bucket _time span=5m
| stats count by _time, src_ip, username
| where count >= 3
| eval severity="Medium", attack_type="Brute Force"
| table _time, src_ip, username, count, severity, attack_type


"_time","src_ip",username,count,severity,"attack_type"
"2025-06-13T00:30:00.000+00:00","189.216.11.38",root,15,Medium,"Brute Force"
"2025-06-13T00:35:00.000+00:00","189.216.11.38",root,16,Medium,"Brute Force"
"2025-06-13T00:40:00.000+00:00","189.216.11.38",root,15,Medium,"Brute Force"
"2025-06-13T00:45:00.000+00:00","189.216.11.38",root,14,Medium,"Brute Force"
"2025-06-13T00:50:00.000+00:00","189.216.11.38",root,10,Medium,"Brute Force"
"2025-06-13T00:50:00.000+00:00","47.99.47.233",admin,3,Medium,"Brute Force"
"2025-06-13T00:50:00.000+00:00","47.99.47.233",root,29,Medium,"Brute Force"
"2025-06-13T01:00:00.000+00:00","106.12.32.205",root,10,Medium,"Brute Force"
"2025-06-13T01:30:00.000+00:00","157.245.194.7",admin,3,Medium,"Brute Force"
"2025-06-13T01:30:00.000+00:00","157.245.194.7",root,34,Medium,"Brute Force"
"2025-06-13T01:35:00.000+00:00","157.245.194.7",root,13,Medium,"Brute Force"
"2025-06-13T02:05:00.000+00:00","196.251.84.225",root,5,Medium,"Brute Force"
"2025-06-13T02:05:00.000+00:00","209.38.89.51",root,4,Medium,"Brute Force"
"2025-06-13T02:10:00.000+00:00","196.251.84.225",root,3,Medium,"Brute Force"
"2025-06-13T02:10:00.000+00:00","209.38.89.51",root,12,Medium,"Brute Force"
"2025-06-13T02:15:00.000+00:00","209.38.89.51",root,15,Medium,"Brute Force"
"2025-06-13T02:20:00.000+00:00","196.251.84.225",root,4,Medium,"Brute Force"
"2025-06-13T02:20:00.000+00:00","209.38.89.51",root,18,Medium,"Brute Force"
"2025-06-13T02:25:00.000+00:00","209.38.89.51",root,7,Medium,"Brute Force"
"2025-06-13T02:40:00.000+00:00","196.251.84.225",root,3,Medium,"Brute Force"
"2025-06-13T02:55:00.000+00:00","196.251.84.225",root,4,Medium,"Brute Force"
"2025-06-13T03:10:00.000+00:00","196.251.84.225",root,3,Medium,"Brute Force"
"2025-06-13T03:25:00.000+00:00","196.251.84.225",root,3,Medium,"Brute Force"
"2025-06-13T04:30:00.000+00:00","196.251.84.225",root,3,Medium,"Brute Force"
"2025-06-13T04:45:00.000+00:00","196.251.84.225",root,3,Medium,"Brute Force"
"2025-06-13T04:50:00.000+00:00","196.251.84.225",root,3,Medium,"Brute Force"
"2025-06-13T05:15:00.000+00:00","196.251.84.225",root,4,Medium,"Brute Force"
"2025-06-13T05:20:00.000+00:00","196.251.84.225",root,3,Medium,"Brute Force"
"2025-06-13T05:45:00.000+00:00","196.251.84.225",root,3,Medium,"Brute Force"
"2025-06-13T06:30:00.000+00:00","196.251.84.225",root,3,Medium,"Brute Force"
"2025-06-13T07:10:00.000+00:00","104.244.77.50",root,4,Medium,"Brute Force"
"2025-06-13T08:25:00.000+00:00","167.99.222.32",admin,5,Medium,"Brute Force"
"2025-06-13T08:25:00.000+00:00","167.99.222.32",root,83,Medium,"Brute Force"
"2025-06-13T10:25:00.000+00:00","127.0.0.1",admin,17,Medium,"Brute Force"
"2025-06-13T10:25:00.000+00:00","127.0.0.1",student,17,Medium,"Brute Force"
"2025-06-13T10:30:00.000+00:00","127.0.0.1",testuser,16,Medium,"Brute Force"
"2025-06-13T10:30:00.000+00:00","127.0.0.1",weakuser,16,Medium,"Brute Force"
"2025-06-13T10:35:00.000+00:00","127.0.0.1",root,16,Medium,"Brute Force"
"2025-07-28T00:55:00.000+00:00","195.178.110.160",root,3,Medium,"Brute Force"
"2025-07-28T12:00:00.000+00:00","127.0.0.1",admin,17,Medium,"Brute Force"
"2025-07-28T12:00:00.000+00:00","127.0.0.1",student,17,Medium,"Brute Force"
"2025-07-28T12:00:00.000+00:00","127.0.0.1",testuser,5,Medium,"Brute Force"
"2025-07-28T12:05:00.000+00:00","127.0.0.1",root,9,Medium,"Brute Force"
"2025-07-28T12:05:00.000+00:00","127.0.0.1",testuser,12,Medium,"Brute Force"
"2025-07-28T12:05:00.000+00:00","127.0.0.1",weakuser,14,Medium,"Brute Force"
"2025-07-28T12:05:00.000+00:00","154.72.206.180",admin,5,Medium,"Brute Force"
"2025-07-28T12:05:00.000+00:00","154.72.206.180",root,51,Medium,"Brute Force"
"2025-07-28T12:10:00.000+00:00","127.0.0.1",root,9,Medium,"Brute Force"
"2025-07-28T13:35:00.000+00:00","222.76.149.131",root,4,Medium,"Brute Force"
